Date,Division,Category,Headcount,Budget_IDR,Actual_IDR,Year,Month,Month_Name,Variance_IDR,Variance_Pct
2023-01-01,Manufacturing & Produksi,Basic Salary,2208,11481600000.0,11465725000.0,2023,1,Jan,-15875000.0,-0.13826470178372352
2023-01-01,Manufacturing & Produksi,Fixed Allowance,2208,1722240000.0,1744550000.0,2023,1,Jan,22310000.0,1.295405982905983
2023-01-01,Manufacturing & Produksi,Variable Allowance/Incentive,2208,574080000.0,644027000.0,2023,1,Jan,69947000.0,12.184190356744704
2023-01-01,Manufacturing & Produksi,Overtime,2208,1607424000.0,1569786000.0,2023,1,Jan,-37638000.0,-2.3415103917821307
2023-01-01,Manufacturing & Produksi,BPJS (Kesehatan & Ketenagakerjaan),2208,823920000.0,821026000.0,2023,1,Jan,-2894000.0,-0.351247693950869
2023-01-01,Manufacturing & Produksi,THR & Bonus Tahunan,2208,956800000.0,0.0,2023,1,Jan,-956800000.0,-100.0
2023-01-01,Manufacturing & Produksi,Training & Development,2208,331200000.0,655448000.0,2023,1,Jan,324248000.0,97.90096618357488
2023-01-01,Manufacturing & Produksi,Recruitment Cost,2208,10577000.0,15758000.0,2023,1,Jan,5181000.0,48.98364375531815
2023-01-01,Manufacturing & Produksi,Other Employee Benefit,2208,1214400000.0,1185894000.0,2023,1,Jan,-28506000.0,-2.3473320158102764
2023-02-01,Manufacturing & Produksi,Basic Salary,2216,11523200000.0,11469799000.0,2023,2,Feb,-53401000.0,-0.46342161899472367
2023-02-01,Manufacturing & Produksi,Fixed Allowance,2216,1728480000.0,1712380000.0,2023,2,Feb,-16100000.0,-0.9314542256780525
2023-02-01,Manufacturing & Produksi,Variable Allowance/Incentive,2216,576160000.0,587313000.0,2023,2,Feb,11153000.0,1.935747014718134
2023-02-01,Manufacturing & Produksi,Overtime,2216,1613248000.0,2369097000.0,2023,2,Feb,755849000.0,46.85262278335383
2023-02-01,Manufacturing & Produksi,BPJS (Kesehatan & Ketenagakerjaan),2216,826905000.0,837032000.0,2023,2,Feb,10127000.0,1.2246872373489095
2023-02-01,Manufacturing & Produksi,THR & Bonus Tahunan,2216,960267000.0,0.0,2023,2,Feb,-960267000.0,-100.0
2023-02-01,Manufacturing & Produksi,Training & Development,2216,332400000.0,256420000.0,2023,2,Feb,-75980000.0,-22.85800240673887
2023-02-01,Manufacturing & Produksi,Recruitment Cost,2216,10616000.0,11849000.0,2023,2,Feb,1233000.0,11.614544084400904
2023-02-01,Manufacturing & Produksi,Other Employee Benefit,2216,1218800000.0,1173558000.0,2023,2,Feb,-45242000.0,-3.7120118148999017
2023-03-01,Manufacturing & Produksi,Basic Salary,2215,11518000000.0,11271558000.0,2023,3,Mar,-246442000.0,-2.1396249348845284
2023-03-01,Manufacturing & Produksi,Fixed Allowance,2215,1727700000.0,1705949000.0,2023,3,Mar,-21751000.0,-1.2589569948486428
2023-03-01,Manufacturing & Produksi,Variable Allowance/Incentive,2215,575900000.0,603438000.0,2023,3,Mar,27538000.0,4.781732939746484
2023-03-01,Manufacturing & Produksi,Overtime,2215,1612520000.0,2831616000.0,2023,3,Mar,1219096000.0,75.60191501500756
